"input"	"translation"
"PSMC2_mut"	"R-HSA-195721"
"PSMC2_mut"	"R-HSA-983705"
"PSMC2_mut"	"R-HSA-9824272"
"PSMC2_mut"	"R-HSA-69541"
"PSMC2_mut"	"R-HSA-69052"
"PSMC2_mut"	"R-HSA-69239"
"PSMC2_mut"	"R-HSA-201681"
"PSMC2_mut"	"R-HSA-202403"
"PSMC2_mut"	"R-HSA-5668541"
"PSMC2_mut"	"R-HSA-8852276"
"PSMC2_mut"	"R-HSA-8878171"
"PSMC2_mut"	"R-HSA-8878166"
"PSMC2_mut"	"R-HSA-8878159"
"PSMC2_mut"	"R-HSA-382551"
"PSMC2_mut"	"R-HSA-5689603"
"PSMC2_mut"	"R-HSA-5689880"
"PSMC2_mut"	"R-HSA-69601"
"PSMC2_mut"	"R-HSA-75815"
"PSMC2_mut"	"R-HSA-180585"
"PSMC2_mut"	"R-HSA-9824446"
"PSMC2_mut"	"R-HSA-180534"
"PSMC2_mut"	"R-HSA-69563"
"PSMC2_mut"	"R-HSA-69580"
"PSMC2_mut"	"R-HSA-69610"
"PSMC2_mut"	"R-HSA-69613"
"PSMD1_mut"	"R-HSA-5619084"
"PSMD1_mut"	"R-HSA-382556"
"PSMD1_mut"	"R-HSA-174143"
"PSMD1_mut"	"R-HSA-174154"
"PSMD1_mut"	"R-HSA-176409"
"PSMD1_mut"	"R-HSA-174178"
"PSMD1_mut"	"R-HSA-179419"
"PSMD1_mut"	"R-HSA-450408"
"PSMD1_mut"	"R-HSA-176814"
"PSMD1_mut"	"R-HSA-1169091"
"PSMD1_mut"	"R-HSA-1280218"
"PSMD1_mut"	"R-HSA-1236975"
"PSMD1_mut"	"R-HSA-983168"
"PSMD1_mut"	"R-HSA-109581"
"PSMD1_mut"	"R-HSA-68867"
"PSMD1_mut"	"R-HSA-4608870"
"PSMD1_mut"	"R-HSA-174084"
"PSMD1_mut"	"R-HSA-349425"
"PSMD1_mut"	"R-HSA-422475"
"PSMD1_mut"	"R-HSA-3858494"
"PSMD1_mut"	"R-HSA-5621481"
"PSMD1_mut"	"R-HSA-69017"
"PSMD1_mut"	"R-HSA-5607764"
"PSMD1_mut"	"R-HSA-174184"
"PSMD1_mut"	"R-HSA-1640170"
"PSMD1_mut"	"R-HSA-69620"
"PSMD1_mut"	"R-HSA-69278"
"PSMD1_mut"	"R-HSA-9711123"
"PSMD1_mut"	"R-HSA-1234174"
"PSMD1_mut"	"R-HSA-8953897"
"PSMD1_mut"	"R-HSA-2262752"
"PSMD1_mut"	"R-HSA-983169"
"PSMD1_mut"	"R-HSA-1236978"
"PSMD1_mut"	"R-HSA-69656"
"PSMD1_mut"	"R-HSA-69202"
"PSMD1_mut"	"R-HSA-1280215"
"PSMD1_mut"	"R-HSA-69306"
"PSMD1_mut"	"R-HSA-69002"
"PSMD1_mut"	"R-HSA-5607761"
"PSMD1_mut"	"R-HSA-5678895"
"PSMD1_mut"	"R-HSA-4641257"
"PSMD1_mut"	"R-HSA-4641258"
"PSMD1_mut"	"R-HSA-5610780"
"PSMD1_mut"	"R-HSA-5610783"
"PSMD1_mut"	"R-HSA-195253"
