Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
POMT1	10585	-1	1	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	0	0	0	-2	0	0	1	0	0	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-2
POMT2	29954	-1	-1	1	0	0	-1	-1	0	0	1	0	0	0	-1	0	-1	0	-2	-1	0	0	-1	0	0	0	1	0	-2	0	0	0	-1	0	0	1	-1	0
POMZP3	22932	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
PON1	5444	1	2	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
PON2	5445	1	2	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
PON3	5446	1	2	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POP1	10940	0	2	0	1	2	-1	0	0	1	1	-1	0	2	-1	1	1	1	1	-1	0	0	1	1	0	0	2	-1	2	-1	0	1	0	1	0	0	-1	1
POP4	10775	0	0	-1	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	-1	0	0	-1	0	1	0	1	0
POP5	51367	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
POP7	10248	1	2	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POPDC2	64091	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
POPDC3	64208	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	-1	2	0	0	-1	-2	-1	0	-1	0	-1	-1	0	-2	0	-2	-1	0	-1	0
POR	5447	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	1	-1	1	0	1
POSTN	10631	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	-1	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
POT1	25913	1	0	2	2	1	0	1	2	1	1	1	0	1	1	1	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POTEA	340441	0	-2	0	1	0	-1	0	-1	-2	0	-1	0	0	0	1	1	1	1	-1	0	0	1	0	0	0	0	-1	2	-1	0	0	0	1	0	0	-1	1
POTEB	339010	0	-1	1	1	0	-1	-1	0	0	1	1	-2	-1	0	0	-1	0	-1	0	0	0	-2	0	-1	0	0	0	0	1	0	0	0	1	1	1	-1	1
POTEC	388468	-1	-1	0	1	0	-1	0	-1	0	-1	-1	0	-1	-1	0	0	1	1	0	0	0	1	0	1	0	1	-1	0	0	-1	0	0	0	0	1	-1	0
POTED	317754	1	2	-1	0	0	-1	1	1	0	0	0	0	-1	0	0	1	0	-1	0	-2	0	1	0	0	-1	0	0	0	-1	0	1	0	1	1	1	-1	1
POTEE	445582	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POTEF	728378	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POTEG	404785	-1	-1	1	0	0	-1	-1	0	0	1	-1	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	1	-1	0
POTEH	23784	1	2	1	1	-1	-1	1	1	1	2	1	0	0	-1	0	-1	1	-1	2	0	0	1	0	0	1	2	0	1	0	0	0	1	1	1	1	1	0
POTEKP	440915	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POTEM	641455	-1	-1	1	0	0	-1	-1	0	0	1	-1	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	1	-1	0
POU1F1	5449	1	1	0	0	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
POU2AF1	5450	-1	0	-1	-1	0	2	-2	0	-2	-1	-1	-2	-1	-1	0	-1	0	-1	-2	0	0	0	0	0	-1	2	-1	-2	-1	0	-2	1	-2	-1	0	-1	-1
POU2F1	5451	-1	2	1	1	1	-1	1	0	1	0	1	1	2	0	1	1	1	2	0	0	0	0	1	1	1	1	0	1	-1	0	1	0	1	1	0	0	0
POU2F2	5452	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	-1	0	0	-1	0	1	0	1	0
POU2F3	25833	-1	0	-1	-1	0	2	-2	0	-2	-1	-1	-2	-1	-1	0	-1	0	-1	-2	0	0	0	0	0	-1	0	-1	-2	-1	0	-2	1	-2	-1	0	-1	-1
POU3F1	5453	1	0	-2	1	1	0	1	1	0	0	1	-1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	-1	0	0	0	-1
POU3F2	5454	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	0	-1	2	0	0	-1	-2	-1	0	-1	0	-1	-1	0	-2	0	-2	-1	0	-1	0
POU3F3	5455	-1	2	-1	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POU4F1	5457	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
POU4F2	5458	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	-2	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-2	1	0	-1	0
POU4F3	5459	1	0	0	-1	0	-1	1	-1	0	0	-1	0	-1	0	0	0	1	1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	1	0	0	0	0	-1	1
POU5F1	5460	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	-1	0	0	1	-2	1	0	1	1	1	1	0	2	-1	1	2	1	-1	-1
POU5F1B	5462	-1	2	0	1	2	2	0	0	1	1	-1	0	2	-1	1	1	1	1	2	0	0	1	1	0	0	2	-1	2	-1	2	1	0	1	0	0	-1	1
POU5F1P3	642559	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
POU5F1P4	645682	-1	2	1	1	1	0	1	0	1	0	1	1	2	0	1	1	1	2	0	0	0	0	1	1	1	1	0	1	-1	0	1	0	1	1	0	0	0
POU5F2	134187	1	0	0	-1	0	-1	1	-1	0	0	-1	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	1	0	-1	-1	-1	1	0	0	0	0	-1	1
POU6F1	5463	1	0	1	1	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	2	0	-1	0	0	0	0	-1	0
POU6F2	11281	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
PP12613	100192379	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	-2	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-2	1	0	-1	0
PP14571	100130449	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	-1	1	1	2	0	0	-1	0	0	0	1	-2	0	0	-1	0	0	0	0	0	1	0
PP2D1	151649	1	1	-1	0	0	0	1	1	0	1	1	-1	1	0	-1	0	1	1	2	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	2	0	0	0	0
PP7080	25845	1	0	0	0	0	0	1	1	0	-1	-1	0	0	0	-1	1	1	1	0	0	0	0	0	0	0	1	1	1	-1	-1	1	0	0	0	0	2	1
PPA1	5464	-1	-1	-1	0	-1	0	-1	0	0	-1	0	0	-1	-2	-1	0	0	-1	0	0	0	1	0	0	-1	-1	-1	-1	-2	-1	0	1	0	0	0	-1	-1
PPA2	27068	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	-2	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-2	1	0	-1	0
PPAN	56342	-1	1	-1	0	0	2	1	1	-2	1	0	0	0	0	0	0	1	0	-1	0	0	1	0	0	0	1	-1	0	-1	0	0	-1	0	1	0	1	0
PPAN-P2RY11	692312	-1	1	-1	0	0	2	1	1	-2	1	0	0	0	0	0	0	1	0	-1	0	0	1	0	0	0	1	-1	0	-1	0	0	-1	0	1	0	1	0
PPAP2A	8611	1	0	0	-1	0	0	1	-1	0	0	-1	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	1	0	1	-1	-1	1	0	0	0	0	-1	1
PPAP2B	8613	1	-1	-1	1	1	0	1	1	0	0	1	-1	0	1	0	0	1	0	2	0	0	0	0	0	-1	1	-1	0	0	-1	0	0	-1	0	0	0	0
PPAP2C	8612	-1	1	-1	0	0	2	-2	1	-2	1	0	0	0	0	0	-1	1	0	-1	0	0	1	0	0	-1	1	-1	0	-1	0	0	-1	0	1	0	1	0
PPAPDC1A	196051	-1	-1	-1	0	-1	2	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	-2	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
PPAPDC1B	84513	1	-2	0	1	0	-1	0	-1	-2	-1	-2	0	0	0	1	1	1	1	-1	0	0	-2	0	0	0	0	-1	1	-1	0	0	0	1	0	0	-1	1
PPAPDC2	403313	-1	-1	-1	-1	-1	2	0	1	0	0	-1	0	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	0	-1	0	0	1	-1	-2	0	-1
